"property_id","price","bed_count","bath_count","type","sqft","parking_type","build_year","address","city","zipcode","photo_count","video_count","description"
"1","1250000","5","3","House","840","Carport","1980","1350 Oakland Rd","San Jose","95112","2","0","Amazing craftsmen home offering oasis with stunning resort like Pool with owned solar system, Outdoor Kitchen with Gas and in-law unit. This is the space youve been looking for. Crown Molding, Gourmet Kitchen with waterfall, Wall of Cabinets for extra storage, Stainless Steel Appliances, Copper Pipes, New Upgraded Electrical, Anderson Doors & Windows, Hardwood Floors, Remodeled Bathrooms and much more! Hyde Park Neighborhood with Tree Lined Street and a great neighborhood of long-time owners! This is one of the best commute locations in the South Bay with Light Rail just a couple of blocks over and easy access to Highways 87, 880 and 101. This home seriously has it all. No need to leave town to find this. This home is a hidden gem! Visit our Virtual open house this weekend and or schedule in person view. Dont miss our Matterport tour with drone video to know its definitely worth your attention and time!"
"2","1098000","3","2","House","1298","Carport","1981","660 N 17th St","San Jose","95112","3","0","Newer foundation. Immaculately maintained and updated 2 bedroom 2 bath home. Front porch leads to the living room opens to the dining area and updated kitchen with breakfast bar and breakfast nook. Foundation redone in 2012 for both main house and garage by licensed contractors with permit. New front door, new interior doors, new hardwood floor throughout, new light fixtures, newer electrical, updated plumbing, newer dual pane windows, updated bathrooms, fresh interior & exterior paint. In-door laundry. Newer roof, newer fence. Partial basement for extra storage. Large back yard, 2 car detached garage, all-around fence for extra privacy. Turn key property with an attractive price. Walking Distance to Parks, library, Shops, Restaurants & Cathedrals. Near Japantown, SJSU, future Google San Jose, Bart Station & VTA Light Rail stations. Easy access to freeways 101,680,280,87. Amazing opportunity!"
"3","1049000","3","3","House","1500","Carport","1982","1120 S 9th St","San Jose","95112","0","0","Indulge in this New York-style Urban Loft with an impressively large open floor plan surrounded by exposed wood ceilings, metal beams, and brick from the original cannery. Industrial chic architectural detail and soaring ceilings (~20 ft high) makes this loft unique and desirable.  End unit rarely available! Condo faces quiet cul-de-sac adjacent to community green space. Resurfaced and newly sealed/burnished concrete floors. Urban living with private patio without compromise of shared hallways and elevators! No expense spared for this remodel, which includes a gourmet kitchen. Landing upstairs opens to space for EXTRA BEDROOM/OFFICE. Remodeled bath on same floor. Smart condo includes Google Display, Nest thermostat, Nest doorbell, Lutron smart light switches, and Simplisafe alarm system! Walk to Japantown's dynamic dining scene. Live in the heart of Silicon Valley. SJ International Airport nearby. Easy commute anywhere in the Bay with connecting routes 87,101, 280, 880 and light rail."
"4","1125000","5","4","House","1156","Carport","1983","507 N 5th St","San Jose","95112","0","0","Welcome home to this stunning one bedroom, one bath condo located in the desirable Ryland Mews community in downtown San Jose. The highly sought after ground level home with soaring ceilings does not share walls with other units and flows beautifully between the spacious living room, separate dining area, kitchen with new appliances and private patio.  This bright space offers an in unit laundry, an abundance of storage including a private closet in the garage, an assigned parking space only steps from the door, and fresh exterior paint. Amenities include a secure building and parking garage, swimming pool, spa, gym, club house and an open green space to relax. Conveniently located near restaurants, shopping, SJSU, the San Jose airport, San Jose Arena, many hi-tech companies and has quick access to highways 87, 101 and 280.  Perfect for the first-time buyer investor."
"5","800000","3","3","House","1507","Carport","1984","637 Boardwalk Way","San Jose","95112","0","0","Custom home for your large family! Step up to the quaint front patio and into the formal entry. Tastefully built with all the right touches: Walk on Brazilian hardwood floors throughout. To the right step down into the warm living room complete with fireplace and mantle. Down the hall you'll find the large eat in kitchen big enough for a 12 person table: Cherrywood cabinets with beautiful granite, custom light fixtures and tile flooring. Ground floor Master bedroom at the back of the home with large walk in closet, Cultured marble slabs in shower and bath. Three more bedrooms upstairs plus a bonus room. Laundry room inside and there 's a built in office space for working from home or studying. Detached garage with bonus inside, long driveway to fit all your vehicles and toys. Shelter at home with this wonderful backyard: Relax in the amazing covered patio kitchen area complete with barbecue, burners, waterfall, and built in gas fireplace. Too much to list! Owned Solar too!"
"6","1200000","6","4","House","2386","Carport","1985","241 Washington St","San Jose","95112","0","0","Compass is proud to exclusively present this Charming home with original San Jose characteristics in the desirable Naglee Park neighborhood. This house features 3 bedroom, 2 baths with formal living room and family room in approximately 1,371 square feet of living space with a newer roof. The house sits on a 6,400 square foot lot that features a detached garage in the spacious backyard. Convert this garage to an ADU for additional income or build an in-law unit to keep your family nearby. The spacious basement provides plenty of storage space.   Only six blocks away from SJSU, this charming property is close to the planned transportation hub in downtown San Jose Station and future Google Village. It is centrally located to downtown businesses, restaurants, entertainment, shopping centers, retailers, grocery shops, gas stations, convenience stores and more. Easy access to all major freeway entrances including 280, 680, and 101."
"7","500000","2","1","Condo","1062","Parking garage","1986","952 S 11th St","San Jose","95112","0","0","Why rent when you can own your own home. This home has been expanded & updated! Central AC & Heat, Insulation, Copper Plumbing, double pane  windows, LED lighting, newer roof. laminate flooring, updated baths, 2 bonus rooms can be use as an office and den.  Some handicap amenities, inside laundry W/D Included low maintenance yard, and tandem Carport. Close to downtown and easy freeway access to 101/280/880."
"8","920000","3","2","Manufactured","1092","Carport","1987","718 N 12th St","San Jose","95112","0","0","Charming and beautifully designed Wolfe and McKenzie 1372 square foot bungalow with tremendous wood details throughout! A lovely front porch and entryway leads you to an open floor plan features a formal living room with original moldings and built-in book case. Separate dining room with fireplace, and built-in china cabinet. You will appreciate the original custom windows in living room and dining room and hardwood floors, and eat-in kitchen with modern appliances. A separate office room off rear bedroom. Inside laundry room and large basement, sliding door to a spacious deck and a lower covered patio area for entertaining family and guests. In 2017 owner installed a high efficiency heating and A/C. Upgraded the electrical panel to 200 AMP and re-piped plumbing to copper. Short block to Santa Clara street new storefront development. Close to new proposed Google campus and downtown activities. One of a kind dream home!"
"9","1198000","4","3","Townhouse","3901","Parking garage","1988","696 Margaret St","San Jose","95112","0","0","161 N 9th st was built in 1920, A wonderful 3 bed 2 bath home just blocks from Downtown San Jose. The home offers 1,439 sq ft of living space on a 4,278 sq ft lot. The home has been extensively upgraded & extended over the last 5 years. The extension includes a master bedroom & bathroom, an additional back bedroom, an office & extended living room and entrance. The additions total nearly 800 sq ft & it has been done in a craftsman style to keep the original feel of the home. The entry area & living room are bright & connect to the kitchen that was remodeled 8 years ago. The Kitchen opens to the bright dining room with its craftsman style columns. The master bath is bright & spacious with a shower tub & walk in closet.  Off the dining room is a bright spacious office that accesses the 3rd bedroom & private backyard. The back bedroom is a large room currently being used a bike room & in door storage room. The home has copper plumbing & new furnace. All work was done with permits."
"10","789000","2","2","Manufactured","1367","Parking garage","1989","350 E Mission St","San Jose","95112","0","0","THIS IS IT!  MAKE NO MISTAKE WHERE YOU ARE.....(don't be a fool anymore, the waiting is over) says Mr. Michael McDonald!  He goes on to say... ""it's here, the moment is now, about to decide!""  That song was written (in 1979) for this home!! Stunning!  This home is being sold by only the second owners.  So much rich history of the families that lived in this house and on this street in the early, early days of San Jose.  These owners have put nothing but love and good taste into it. GOTTA SEE IT!  Air conditioning! Refinished ""original"" red oak flooring. Custom upgrades unlike any in this price range. The quartz kitchen counter tops are so beautiful and resemble slab marble.  Rich dark cabinets.  Gas stove, and stainless steel appliances. Even the kitchen hood is attractive. The floorplan flows and is open and full of natural light. The master bedroom and master bath are right out of a magazine!  And DO social distancing in this serene backyard! FULLY OWNED SOLAR! TANKLESS H2O HEATER!"
